id,answer_id,comment,date_created,reason,session
1420,51,sin comentario,2022-02-17 18:03:36.107,sin razón,1759909306
1421,12,sin comentario,2022-02-17 18:03:42.673,sin razón,1759909306
1422,24,sin comentario,2022-02-17 18:03:50.189,sin razón,1759923873
1423,15,sin comentario,2022-02-17 18:04:21.408,sin razón,1759923873
1424,106,sin comentario,2022-02-17 18:04:47.721,sin razón,1759923873
1425,37,sin comentario,2022-02-17 18:04:59.725,sin razón,1759923873
1426,7,sin comentario,2022-02-17 18:05:09.470,sin razón,1759923873
1427,1,sin comentario,2022-02-17 18:05:21.402,sin razón,1759923873
1428,67,sin comentario,2022-02-17 18:05:48.541,sin razón,1759923873
1429,51,sin comentario,2022-02-17 18:06:06.629,sin razón,1760047757
1430,22,sin comentario,2022-02-17 18:06:52.793,sin razón,1758455185
1431,74,sin comentario,2022-02-17 18:06:58.766,sin razón,1760047757
1432,110,sin comentario,2022-02-17 18:07:05.508,sin razón,1758455185
1433,14,sin comentario,2022-02-17 18:07:08.792,sin razón,1758455185
1434,107,sin comentario,2022-02-17 18:07:12.087,sin razón,1758455185
1435,4,sin comentario,2022-02-17 18:07:15.506,sin razón,1758455185
1436,28,sin comentario,2022-02-17 18:07:18.326,sin razón,1758455185
1437,16,sin comentario,2022-02-17 18:07:22.071,sin razón,1758455185
1438,66,sin comentario,2022-02-17 18:07:27.534,sin razón,1758455185
1439,105,sin comentario,2022-02-17 18:07:31.254,sin razón,1758455185
1440,62,sin comentario,2022-02-17 18:07:36.875,sin razón,1758455185
1441,15,sin comentario,2022-02-17 18:07:41.488,sin razón,1758455185
1442,50,sin comentario,2022-02-17 18:07:45.760,sin razón,1758455185
1443,38,sin comentario,2022-02-17 18:07:50.664,sin razón,1758455185
1444,59,sin comentario,2022-02-17 18:07:51.652,sin razón,1760047757
1445,25,sin comentario,2022-02-17 18:07:57.123,sin razón,1758455185
1446,30,sin comentario,2022-02-17 18:07:59.161,sin razón,1758455185
1447,103,sin comentario,2022-02-17 18:08:05.451,sin razón,1758455185
1448,55,sin comentario,2022-02-17 18:08:09.175,sin razón,1758455185
1449,5,sin comentario,2022-02-17 18:08:14.252,sin razón,1758455185
1450,108,sin comentario,2022-02-17 18:08:18.272,sin razón,1758455185
1451,44,sin comentario,2022-02-17 18:08:22.227,sin razón,1758455185
1452,55,sin comentario,2022-02-17 18:08:24.514,sin razón,1760047757
1453,80,sin comentario,2022-02-17 18:08:26.499,sin razón,1758455185
1454,29,sin comentario,2022-02-17 18:08:30.538,sin razón,1758455185
1455,27,sin comentario,2022-02-17 18:08:37.526,sin razón,1758455185
1456,93,sin comentario,2022-02-17 18:08:41.851,sin razón,1758455185
1457,39,sin comentario,2022-02-17 18:08:44.948,sin razón,1758455185
1458,68,sin comentario,2022-02-17 18:08:51.793,sin razón,1758455185
1459,31,sin comentario,2022-02-17 18:08:55.224,sin razón,1760047757
1460,31,sin comentario,2022-02-17 18:08:56.335,sin razón,1758455185
1461,43,sin comentario,2022-02-17 18:09:02.304,sin razón,1758455185
1462,42,sin comentario,2022-02-17 18:09:06.239,sin razón,1758455185
1463,25,sin comentario,2022-02-17 18:09:10.364,sin razón,1760047757
1464,92,sin comentario,2022-02-17 18:09:30.195,sin razón,1760047757
1465,56,sin comentario,2022-02-17 18:11:30.831,sin razón,1760302447
1466,24,sin comentario,2022-02-17 18:11:40.541,sin razón,1760302447
1467,50,sin comentario,2022-02-17 18:11:49.960,sin razón,1760302447
1468,85,sin comentario,2022-02-17 18:12:09.828,sin razón,1760302447
1469,29,sin comentario,2022-02-17 18:12:57.588,sin razón,1760337134
1470,42,sin comentario,2022-02-17 18:14:24.064,sin razón,1760349473
1471,2,sin comentario,2022-02-17 18:14:37.757,sin razón,1760349473
1472,13,Si se mezclan colores mejor que sean de la misma familia de tonos,2022-02-17 18:15:12.576,sin razón,1760349473
1473,65,sin comentario,2022-02-17 18:15:47.331,sin razón,1760349473
1474,8,Colores más fuertes o oscuros me parece que saturan mucho la visualización del mapa, sobre todo si abarca mucho tiempo,2022-02-17 18:16:55.963,sin razón,1760349473
1475,17,sin comentario,2022-02-17 18:17:03.338,sin razón,1760349473
1476,106,Es círculos se ve más ordenado,2022-02-17 18:17:23.128,sin razón,1760349473
1477,96,sin comentario,2022-02-17 18:17:35.915,sin razón,1760349473
1478,6,sin comentario,2022-02-17 18:17:48.800,sin razón,1760349473
1479,29,sin comentario,2022-02-17 18:17:58.445,sin razón,1760349473
1480,43,sin comentario,2022-02-17 18:18:08.348,sin razón,1760349473
1481,77,sin comentario,2022-02-17 18:18:14.502,sin razón,1760349473
1482,111,sin comentario,2022-02-17 18:18:24.076,sin razón,1760349473
1483,109,sin comentario,2022-02-17 18:18:33.071,sin razón,1760349473
1484,74,sin comentario,2022-02-17 18:18:43.256,sin razón,1760349473
1485,35,sin comentario,2022-02-17 18:18:53.994,sin razón,1760349473
1486,11,sin comentario,2022-02-17 18:19:44.814,sin razón,1760349473
1487,34,sin comentario,2022-02-17 18:19:50.551,sin razón,1760349473
1488,14,sin comentario,2022-02-17 18:19:54.463,sin razón,1760349473
1489,1,sin comentario,2022-02-17 18:20:02.003,sin razón,1760349473
1490,5,sin comentario,2022-02-17 18:20:08.643,sin razón,1760349473
1491,110,sin comentario,2022-02-17 18:20:13.954,sin razón,1760349473
1492,20,sin comentario,2022-02-17 18:20:22.452,sin razón,1760349473
1493,89,sin comentario,2022-02-17 18:20:29.272,sin razón,1760349473
1494,27,sin comentario,2022-02-17 18:21:28.536,sin razón,1760349473
1495,68,sin comentario,2022-02-17 18:21:40.742,sin razón,1760349473
1496,17,sin comentario,2022-02-17 18:32:44.431,sin razón,1760954503
1497,16,sin comentario,2022-02-17 18:32:53.954,sin razón,1760954503
1498,23,sin comentario,2022-02-17 18:33:11.348,sin razón,1760954503
